   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1612(get_resource_stream)
       12    0.000    0.000    0.000    0.000 __init__.py:1615(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1619(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1630(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1643(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1650(ZipManifests)
        2    0.000    0.000    0.000    0.000 __init__.py:1655(build)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_ushort)
       33    0.000    0.000    0.000    0.000 __init__.py:1665(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1677(MemoizedZipManifests)
        8    0.016    0.002    0.016    0.002 __init__.py:1683(load)
        1    0.000    0.000    0.000    0.000 __init__.py:1697(ZipProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_long)
        6    0.000    0.000    0.000    0.000 __init__.py:1707(_zipinfo_name)
        8    0.000    0.000    0.016    0.002 __init__.py:1729(zipinfo)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:177(get_supported_platform)
        2    0.000    0.000    0.000    0.000 __init__.py:1835(_index)
        6    0.000    0.000    0.016    0.003 __init__.py:1852(_has)
        1    0.000    0.000    0.000    0.000 __init__.py:1872(FileMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:1914(PathMetadata)
       80    0.000    0.000    0.000    0.000 __init__.py:1934(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1939(EggMetadata)
        4    0.000    0.000    0.000    0.000 __init__.py:1942(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_double)
        4    0.000    0.000    0.000    0.000 __init__.py:1957(register_finder)
       30    0.000    0.000    0.000    0.000 __init__.py:1967(find_distributions)
        8    0.000    0.000    0.016    0.002 __init__.py:1974(find_eggs_in_zip)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_longdouble)
        2    0.000    0.000    0.844    0.422 __init__.py:2(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:2004(find_nothing)
       20    0.000    0.000    0.062    0.003 __init__.py:2011(_by_version_descending)
       76    0.000    0.000    0.016    0.000 __init__.py:2026(_by_version)
       76    0.000    0.000    0.000    0.000 __init__.py:2032(<listcomp>)
      104    0.000    0.000    0.141    0.001 __init__.py:2037(find_on_path)
       96    0.000    0.000    0.031    0.000 __init__.py:2054(<genexpr>)
     1106    0.016    0.000    0.031    0.000 __init__.py:2069(dist_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:2086(NoDists)
        1    0.000    0.000    0.000    0.000 __init__.py:209(c_longlong)
      954    0.000    0.000    0.000    0.000 __init__.py:2094(__bool__)
        1    0.000    0.000    0.578    0.578 __init__.py:21(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:210(FuncResult)
       20    0.000    0.000    0.016    0.001 __init__.py:2103(safe_listdir)
        1    0.000    0.000    0.000    0.000 __init__.py:211(__getattr__)
